3.5.10.11;Batterie change-over 11;;;;;;;;;;;;;;;;;
3.5.10.12;Batterie change-over 12;;;;;;;;;;;;;;;;;
3.5.11;Rideaux d'air anti-insects;;;;;;;;;;;;;;;;;
"3.5.11.1	";Rideaux d’air anti-insects largeur 1500mm;;;;;;;;;;;;;;;;;
"3.5.11.2	";Rideaux d’air anti-insects largeur 2500mm;;;;;;;;;;;;;;;;;
3.6;Froid commercial au CO2;;;;;;;;;;;;;;;;;
3.6.1;Centrale frigorifique;;;;;;;;;;;;;;;;;
3.6.2;Gas cooler;;;;;;;;;;;;;;;;;
3.6.3;Evaporateurs refroidissement d’air 15 Kw;;;;;;;;;;;;;;;;;
3.6.4;Evaporateurs refroidissement d’air 7.5 Kw;;;;;;;;;;;;;;;;;
3.6.5;Evaporateurs refroidissement d’air 5 Kw;;;;;;;;;;;;;;;;;
3.6.6;Tuyauteries fluide frigorigène;;;;;;;;;;;;;;;;;
3.6.7;Tuyauteries des condensats;;;;;;;;;;;;;;;;;
3.6.8;Isolation des conduites avec coque de protection en tôle;;;;;;;;;;;;;;;;;
3.6.9;Tableaux électriques et régulation;;;;;;;;;;;;;;;;;
3.6.10;Câblages électriques;;;;;;;;;;;;;;;;;
3.6.11;Détecteurs CO2;;;;;;;;;;;;;;;;;
3.6.12;Détecteurs O2 pour locaux N2;;;;;;;;;;;;;;;;;
3.6.13;Mise en service;;;;;;;;;;;;;;;;;
3.7;Installation sanitaire;;;;;;;;;;;;;;;;;
3.7.1;Evacuation des eaux usées;;;;;;;;;;;;;;;;;
3.7.2;Production d’eau chaude sanitaire;;;;;;;;;;;;;;;;;
"3.7.2.1	";Chauffe-eau instantanée sous lavabo;;;;;;;;;;;;;;;;;
"3.7.2.2	";Chauffe-eau instantanée cuisine;;;;;;;;;;;;;;;;;
3.7.3;Distribution d’eau chaude et d’eau froide;;;;;;;;;;;;;;;;;
3.7.4;Isolation réseau d’eau froide;;;;;;;;;;;;;;;;;
3.7.5;Isolation réseau d’eau chaude;;;;;;;;;;;;;;;;;
3.7.6;Appareils sanitaires et accessoires;;;;;;;;;;;;;;;;;
3.7.6.1;Bloc réservoir à encastrer pour WC;;;;;;;;;;;;;;;;;
3.7.6.2;Commande pour réservoir WC;;;;;;;;;;;;;;;;;
"3.7.6.3	";Cuvette WC;;;;;;;;;;;;;;;;;
"3.7.6.4	";Abattant WC;;;;;;;;;;;;;;;;;
"3.7.6.5	";Distributeur papier WC;;;;;;;;;;;;;;;;;
"3.7.6.6	";Ensemble brosse pour WC;;;;;;;;;;;;;;;;;
"3.7.6.7	";Barre de maintien coudée ;;;;;;;;;;;;;;;;;
"3.7.6.8	";Crochet mural simple;;;;;;;;;;;;;;;;;
"3.7.6.9	";Bati-support pour lavabo / lavabo handicapé;;;;;;;;;;;;;;;;;
"3.7.6.10	";Lavabo handicapé;;;;;;;;;;;;;;;;;
"3.7.6.11	";Lavabo ;;;;;;;;;;;;;;;;;
"3.7.6.12	";Siphon;;;;;;;;;;;;;;;;;
"3.7.6.13	";Robinet d’arrêt équerre ;;;;;;;;;;;;;;;;;
"3.7.6.14	";Bonde à grille chromé;;;;;;;;;;;;;;;;;
"3.7.6.15	";Mitigeur mono commande pour lavabo;;;;;;;;;;;;;;;;;
"3.7.6.16	";Barre d’appui relevable;;;;;;;;;;;;;;;;;
"3.7.6.17	";Miroir PMR;;;;;;;;;;;;;;;;;
"3.7.6.18	";Miroir ;;;;;;;;;;;;;;;;;
"3.7.6.19	";Mitigeur thermostatique;;;;;;;;;;;;;;;;;
"3.7.6.20	";Distributeur de savon PMR;;;;;;;;;;;;;;;;;
"3.7.6.21	";Distributeur de savon ;;;;;;;;;;;;;;;;;
"3.7.6.22	";Déversoir mural;;;;;;;;;;;;;;;;;
"3.7.6.23	";Mitigeur mono-commande pour déversoir;;;;;;;;;;;;;;;;;
"3.7.6.24	";Mitigeur mono-commande pour évier;;;;;;;;;;;;;;;;;
"3.7.6.25	";Mitigeur mono-commande pour évier PMR;;;;;;;;;;;;;;;;;
"3.7.6.26	";Bâti-support pour urinoir;;;;;;;;;;;;;;;;;
"3.7.6.27	";Urinoir ;;;;;;;;;;;;;;;;;
"3.7.6.28	";Séparation pour urinoir ;;;;;;;;;;;;;;;;;
3.7.7;Evacuation des eaux pluviales;;;;;;;;;;;;;;;;;
3.8;Protection contre les incendies;;;;;;;;;;;;;;;;;
3.8.1;Extincteur à eau;;;;;;;;;;;;;;;;;
3.8.2;Extincteur à mousse;;;;;;;;;;;;;;;;;
3.9;Travaux divers;;;;;;;;;;;;;;;;;
3.9.1;Mise en chantier et préparations;;;;;;;;;;;;;;;;;
3.9.2;Fermeture coupe-feu;;;;;;;;;;;;;;;;;
3.9.3;Percements et saignées;;;;;;;;;;;;;;;;;
3.9.4;Nettoyage des réseaux;;;;;;;;;;;;;;;;;
3.9.5;Mise en service;;;;;;;;;;;;;;;;;
3.9.6;Régies;;;;;;;;;;;;;;;;;
3.9.6.1;Chargé d’affaire;;;;;;;;;;;;;;;;;
3.9.6.2;Dessinateur;;;;;;;;;;;;;;;;;
3.9.6.3;Programmeur;;;;;;;;;;;;;;;;;
3.9.6.4;Chef de chantier;;;;;;;;;;;;;;;;;
3.9.6.5;Metteur au point;;;;;;;;;;;;;;;;;
